Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Property_Type,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,Buyer_Concession_to_Seller,Buyer_Concession_$/%,Seller_Concession_to_Buyer,Seller_Concession_$/%
85009,SF,4,2,"1,785",228.01,Residential,Detached,2019,"6,100",None,214,N,,BASEMENT Y/N: N,,"420,000","407,000",String,,,2,0,Conventional,Other,0,%,2.75,%
85009,SF,4,2,"1,155",311.68,Residential,Detached,1961,"6,016",None,400,N,,BASEMENT Y/N: N,,"360,000","360,000",High Rise,,,0,1,FHA,Other,0,$,10000,$
85009,SF,2,1,"1,155",247.62,Residential,Detached,1931,"5,375",None,365,N,,BASEMENT Y/N: N,,"284,000","286,000",2-3-4 Plex,,,0,0,FHA,Fixed,0,%,3.5,%
85009,SF,4,2,"1,500",170.67,Residential,Detached,1954,"6,434",None,359,N,,BASEMENT Y/N: N,,"270,000","256,000",Clustered,,,0,0,Other,Fixed,0,$,0,$
85009,SF,1,1,870,172.41,Residential,Detached,1940,"7,000",None,400,N,,BASEMENT Y/N: N,,"165,000","150,000",2-3-4 Plex,,,0,2,Cash,Fixed,0,$,0,$
85012,AF,2,2,"1,086",377.53,Residential,Stacked,2008,"1,044",Community,272.55,N,,BASEMENT Y/N: N,,"463,000","410,000",2-3-4 Plex,,,0,2,Cash,Other,0,$,0,$
85012,AF,2,2,"1,261",428.23,Residential,Stacked,2008,"1,238",Both,359,N,,BASEMENT Y/N: N,,"575,000","540,000",,,,2,0,Conventional,Fixed,0,$,0,$
85012,SF,4,2,"2,018",359.26,Residential,Detached,1946,"7,601",None,328,N,,BASEMENT Y/N: N,,"725,000","725,000",,,,0,2,VA,Fixed,0,$,0,$
85012,SF,4,4.5,"4,508",720.94,Residential,Detached,2023,"18,243",Private,185.07,N,,BASEMENT Y/N: N,,"3,250,000","3,250,000",,,,3,0,Cash,Other,0,$,0,$
85012,TH,4,3,"3,184",227.7,Residential,Attached,1978,"3,615",Community,300,N,,BASEMENT Y/N: N,,"774,900","725,000",,,,2,0,Cash,Fixed,0,$,0,$
85012,SF,4,4,"2,689",306.81,Residential,Detached,1966,"11,103",Private,178,N,,BASEMENT Y/N: N,,"825,000","825,000",,,,2,0,Conventional,Fixed,0,$,0,$
85012,AF,2,1,980,171.42,Residential,Stacked,1964,887,Community,215.61,N,,BASEMENT Y/N: N,,"179,000","168,000",,,,2,0,Conventional,Fixed,0,$,0,$
85012,LS,2,2,"1,089",440.77,Residential,Stacked,2008,"1,044",Community,315,N,,BASEMENT Y/N: N,,"495,000","480,000",,,,2,0,Cash,Fixed,0,$,0,$
85013,SF,4,4,"3,649",271.31,Residential,Detached,1952,"13,678",None,345,N,,BASEMENT Y/N: N,,"995,000","990,000",,,,2,0,Conventional,Other,0,$,15000,$
85013,AF,1,1,838,256.56,Residential,Attached,1985,783,Both,257,N,,BASEMENT Y/N: N,,"225,000","215,000",,,,1,0,Conventional,Fixed,0,%,5000,$
85013,AF,2,2,"1,425",217.54,Residential,Stacked,1963,"203,131",Community,225,N,,BASEMENT Y/N: N,,"330,000","310,000",,,,0,1,Conventional,Fixed,0,$,2500,$
85013,AF,1,1,914,311.81,Residential,Stacked,1961,922,Community,200,N,,BASEMENT Y/N: N,,"295,000","285,000",,,,0,1,Conventional,Fixed,0,$,8500,$
85013,PH,2,2,"1,350",250.37,Residential,Attached,1965,"1,454",Community,880,N,,BASEMENT Y/N: N,,"399,000","338,000",,,,0,2,Cash,Fixed,0,$,0,$
85013,AF,1,1,738,281.16,Residential,Attached,1996,828,Community,,N,,BASEMENT Y/N: N,,"214,900","207,500",,,,0,1,Cash,Fixed,0,$,0,$
85013,SF,3,2,"1,522",344.94,Residential,Detached,1956,"8,377",None,,N,,BASEMENT Y/N: N,,"525,000","525,000",,,,0,2,Conventional,Fixed,0,%,2,%
85013,PH,2,2,"1,703",299.47,Residential,Detached,1978,"3,633",Private,,N,,BASEMENT Y/N: N,,"499,900","510,000",,,,2,0,Conventional,Fixed,0,$,0,$
85013,TH,2,2.5,"1,077",343.55,Residential,Attached,1980,814,Community,,N,,BASEMENT Y/N: N,,"375,000","370,000",,,,0,2,Other,Fixed,0,$,2500,$
85013,SF,3,2,"1,312",449.69,Residential,Detached,1957,"6,477",Private,,N,,BASEMENT Y/N: N,,"599,000","590,000",,,,0,1,FHA,Other,0,$,0,$
85013,PH,3,2,"1,530",333.33,Residential,Attached,1979,"2,618",Community,,N,,BASEMENT Y/N: N,,"525,000","510,000",,,,2,0,Conventional,Fixed,0,$,3950,$
85013,TH,3,2,"1,552",344.72,Residential,Attached,1965,"1,799",Community,,N,,BASEMENT Y/N: N,,"535,000","535,000",,,,0,2,Conventional,Fixed,0,$,0,$
85013,TH,2,2,966,383.02,Residential,Attached,1999,534,Community,,N,,BASEMENT Y/N: Y,,"370,000","370,000",,,,1,0,Cash,Other,0,$,0,$
85013,TH,3,2,"1,530",311.76,Residential,Attached,1979,"2,932",Community,,N,,BASEMENT Y/N: N,,"487,000","477,000",,,,0,2,Cash,Fixed,0,%,0,$
85013,SF,3,2,"1,528",415.58,Residential,Detached,1952,"10,572",Private,,N,,BASEMENT Y/N: N,,"650,000","635,000",,,,2,2,Conventional,Fixed,0,$,5000,$
85013,AF,2,2,"1,296",243.06,Residential,Attached,1973,"1,032",Community,,N,,BASEMENT Y/N: N,,"315,000","315,000",,,,0,2,Conventional,Fixed,0,$,8000,$
85013,SF,3,2,"1,944",335.39,Residential,Detached,1956,"8,812",Private,,N,,BASEMENT Y/N: N,,"675,000","652,000",,,,0,1,Conventional,Fixed,0,$,0,$
85013,SF,3,1.5,"1,658",242.15,Residential,Detached,1946,"8,503",None,,N,,BASEMENT Y/N: N,,"370,000","401,500",,,,2,0,Cash,Other,0,$,4000,$
85013,SF,3,2,"2,064",331.87,Residential,Detached,1956,"11,269",None,,N,,BASEMENT Y/N: N,,"685,000","685,000",,,,0,1,Conventional,,0,$,6000,$
85013,SF,3,2,"1,753",326.29,Residential,Detached,1954,"9,697",None,,N,,BASEMENT Y/N: N,,"565,000","572,000",,,,0,0,Cash,,0,$,0,$
85014,AF,1,1,760,325.65,Residential,Stacked,1999,760,Community,,N,,BASEMENT Y/N: N,,"250,000","247,500",,,,0,1,Conventional,,0,%,3,%
85014,PH,3,2,"1,912",243.2,Residential,Detached,1972,"3,354",Community,,N,,BASEMENT Y/N: N,,"475,000","465,000",,,,2,0,Conventional,,0,$,11000,$
85014,SF,3,2,"1,283",370.22,Residential,Detached,1998,"7,110",Private,,N,,BASEMENT Y/N: N,,"499,000","475,000",,,,2,0,Conventional,,0,$,0,$
85014,TH,3,2,"1,844",271.14,Residential,Attached,1975,"3,110",Community,,N,,BASEMENT Y/N: N,,"519,990","500,000",,,,2,0,Cash,,0,$,2500,$
85014,TH,1,1,760,361.84,Residential,Stacked,1999,760,Community,,N,,BASEMENT Y/N: N,,"279,000","275,000",,,,1,0,Conventional,,0,$,3,%
85014,TH,2,2,"1,102",362.06,Residential,Attached,2008,788,Private,,N,,BASEMENT Y/N: N,,"405,000","399,000",,,,2,0,Cash,,0,$,0,$
85014,SF,4,3.5,"2,319",271.66,Residential,Detached,1950,"8,943",Private,,N,,BASEMENT Y/N: N,,"649,000","630,000",,,,0,1,Conventional,,0,$,0,$
85014,SF,5,2,"1,466",204.63,Residential,Detached,1952,"5,924",None,,N,,BASEMENT Y/N: N,,"340,000","300,000",,,,0,0,Cash,,0,$,0,%
85014,SF,2,1,796,496.23,Residential,Detached,1933,"6,000",None,,N,,BASEMENT Y/N: N,,"425,000","395,000",,,,0,1,Cash,,0,$,0,$
85014,SF,3,2,"1,577",475.58,Residential,Detached,1952,"8,298",None,,N,,BASEMENT Y/N: N,,"775,000","750,000",,,,0,2,Cash,,0,$,0,$
85014,SF,3,2,"1,315",430.42,Residential,Detached,1954,"6,521",Private,,N,,BASEMENT Y/N: N,,"565,000","566,000",,,,0,1,Conventional,,0,$,0,$
85014,SF,3,2,"1,291",498.83,Residential,Detached,1954,"6,778",Private,,N,,BASEMENT Y/N: N,,"644,000","644,000",,,,0,1,Conventional,,3,%,0,$
85014,SF,2,2,"1,335",460.67,Residential,Detached,1940,"8,100",None,,N,,BASEMENT Y/N: N,,"599,000","615,000",,,,0,1,Conventional,,0,$,12000,$
