,Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,HOA_Missing,Buyer_Concession,Seller_Concession,diff_List_Sold
65,85009,SF,1,1.0,870,172.41,Detached,1940,7000,no_pool,400.0,N,No,N,No,165000,150000,2-3-4 Plex,No,No,0.0,2.0,Cash,Fixed,0,0.0,0.0,-15000
66,85012,AF,2,2.0,1086,377.53,Stacked,2008,1044,Community,272.55,N,No,N,No,463000,410000,2-3-4 Plex,No,No,0.0,2.0,Cash,Other,0,0.0,0.0,-53000
67,85012,AF,2,2.0,1261,428.23,Stacked,2008,1238,Both,359.0,N,No,N,No,575000,540000,Missing,No,No,2.0,0.0,Conventional,Fixed,0,0.0,0.0,-35000
68,85012,SF,4,2.0,2018,359.26,Detached,1946,7601,no_pool,328.0,N,No,N,No,725000,725000,Missing,No,No,0.0,2.0,VA,Fixed,0,0.0,0.0,0
69,85012,SF,4,4.5,4508,720.94,Detached,2023,18243,Private,185.07,N,No,N,No,3250000,3250000,Missing,No,No,3.0,0.0,Cash,Other,0,0.0,0.0,0
70,85012,TH,4,3.0,3184,227.7,Attached,1978,3615,Community,300.0,N,No,N,No,774900,725000,Missing,No,No,2.0,0.0,Cash,Fixed,0,0.0,0.0,-49900
71,85012,SF,4,4.0,2689,306.81,Detached,1966,11103,Private,178.0,N,No,N,No,825000,825000,Missing,No,No,2.0,0.0,Conventional,Fixed,0,0.0,0.0,0
72,85012,AF,2,1.0,980,171.42,Stacked,1964,887,Community,215.61,N,No,N,No,179000,168000,Missing,No,No,2.0,0.0,Conventional,Fixed,0,0.0,0.0,-11000
73,85012,LS,2,2.0,1089,440.77,Stacked,2008,1044,Community,315.0,N,No,N,No,495000,480000,Missing,No,No,2.0,0.0,Cash,Fixed,0,0.0,0.0,-15000
74,85013,SF,4,4.0,3649,271.31,Detached,1952,13678,no_pool,345.0,N,No,N,No,995000,990000,Missing,No,No,2.0,0.0,Conventional,Other,0,0.0,15000.0,-5000
75,85013,AF,1,1.0,838,256.56,Attached,1985,783,Both,257.0,N,No,N,No,225000,215000,Missing,No,No,1.0,0.0,Conventional,Fixed,0,0.0,5000.0,-10000
